director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,Genre,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,imdb_score
Gore Verbinski,302.0,169.0,563.0,1000.0,40000.0,309404152.0,Action,Pirates of the Caribbean: At World's End ,471220,48350,0.0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238.0,English,300000000.0,2007.0,5000.0,2.35,0,High
Sam Mendes,602.0,148.0,0.0,161.0,11000.0,200074175.0,Action,Spectre ,275868,11700,1.0,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994.0,English,245000000.0,2015.0,393.0,2.35,85000,High
Doug Walker,,,131.0,,131.0,,Documentary,Star Wars: Episode VII - The Force Awakens             ,8,143,0.0,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,12.0,,0,High
Andrew Stanton,462.0,132.0,475.0,530.0,640.0,73058679.0,Action,John Carter ,212204,1873,1.0,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738.0,English,263700000.0,2012.0,632.0,2.35,24000,High
Sam Raimi,392.0,156.0,0.0,4000.0,24000.0,336530303.0,Action,Spider-Man 3 ,383056,46055,0.0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902.0,English,258000000.0,2007.0,11000.0,2.35,0,High
Zack Snyder,673.0,183.0,0.0,2000.0,15000.0,330249062.0,Action,Batman v Superman: Dawn of Justice ,371639,24450,0.0,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018.0,English,250000000.0,2016.0,4000.0,2.35,197000,High
Bryan Singer,434.0,169.0,0.0,903.0,18000.0,200069408.0,Action,Superman Returns ,240396,29991,0.0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367.0,English,209000000.0,2006.0,10000.0,2.35,0,High
Marc Forster,403.0,106.0,395.0,393.0,451.0,168368427.0,Action,Quantum of Solace ,330784,2023,1.0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243.0,English,200000000.0,2008.0,412.0,2.35,0,High
Gore Verbinski,313.0,151.0,563.0,1000.0,40000.0,423032628.0,Action,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,2.0,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832.0,English,225000000.0,2006.0,5000.0,2.35,5000,High
Gore Verbinski,450.0,150.0,563.0,1000.0,40000.0,89289910.0,Action,The Lone Ranger ,181792,45757,1.0,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,215000000.0,2013.0,2000.0,2.35,48000,High
Zack Snyder,733.0,143.0,0.0,748.0,15000.0,291021565.0,Action,Man of Steel ,548573,20495,0.0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,225000000.0,2013.0,3000.0,2.35,118000,High
Andrew Adamson,258.0,150.0,80.0,201.0,22000.0,141614023.0,Action,The Chronicles of Narnia: Prince Caspian ,149922,22697,4.0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,225000000.0,2008.0,216.0,2.35,0,High
Rob Marshall,448.0,136.0,252.0,1000.0,40000.0,241063875.0,Action,Pirates of the Caribbean: On Stranger Tides ,370704,54083,4.0,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,250000000.0,2011.0,11000.0,2.35,58000,High
Barry Sonnenfeld,451.0,106.0,188.0,718.0,10000.0,179020854.0,Action,Men in Black 3 ,268154,12572,1.0,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,225000000.0,2012.0,816.0,1.85,40000,High
Marc Webb,599.0,153.0,464.0,963.0,15000.0,262030663.0,Action,The Amazing Spider-Man ,451803,28489,0.0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,230000000.0,2012.0,10000.0,2.35,56000,High
Ridley Scott,343.0,156.0,0.0,738.0,891.0,105219735.0,Action,Robin Hood ,211765,3244,0.0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,200000000.0,2010.0,882.0,2.35,17000,High
Chris Weitz,251.0,113.0,129.0,1000.0,16000.0,70083519.0,Adventure,The Golden Compass ,149019,24106,2.0,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666.0,English,180000000.0,2007.0,6000.0,2.35,0,High
Peter Jackson,446.0,201.0,0.0,84.0,6000.0,218051260.0,Action,King Kong ,316018,7123,0.0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618.0,English,207000000.0,2005.0,919.0,2.35,0,High
Peter Berg,377.0,131.0,532.0,627.0,14000.0,65173160.0,Action,Battleship ,202382,26679,0.0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751.0,English,209000000.0,2012.0,10000.0,2.35,44000,High
Colin Trevorrow,644.0,124.0,365.0,1000.0,3000.0,652177271.0,Action,Jurassic World ,418214,8458,0.0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290.0,English,150000000.0,2015.0,2000.0,2.0,150000,High
Sam Raimi,300.0,135.0,0.0,4000.0,24000.0,373377893.0,Action,Spider-Man 2 ,411164,43388,1.0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303.0,English,200000000.0,2004.0,11000.0,2.35,0,High
Shane Black,608.0,195.0,1000.0,3000.0,21000.0,408992272.0,Action,Iron Man 3 ,557489,30426,3.0,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187.0,English,200000000.0,2013.0,4000.0,2.35,95000,High
Tim Burton,451.0,108.0,13000.0,11000.0,40000.0,334185206.0,Adventure,Alice in Wonderland ,306320,79957,0.0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736.0,English,200000000.0,2010.0,25000.0,1.85,24000,High
Brett Ratner,334.0,104.0,420.0,560.0,20000.0,234360014.0,Action,X-Men: The Last Stand ,383427,21714,0.0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912.0,English,210000000.0,2006.0,808.0,2.35,0,High
Dan Scanlon,376.0,104.0,37.0,760.0,12000.0,268488329.0,Adventure,Monsters University ,235025,14863,0.0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265.0,English,200000000.0,2013.0,779.0,1.85,44000,High
Michael Bay,366.0,150.0,0.0,464.0,894.0,402076689.0,Action,Transformers: Revenge of the Fallen ,323207,3218,0.0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439.0,English,200000000.0,2009.0,581.0,2.35,0,High
Michael Bay,378.0,165.0,0.0,808.0,974.0,245428137.0,Action,Transformers: Age of Extinction ,242420,3988,2.0,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918.0,English,210000000.0,2014.0,956.0,2.35,56000,High
Sam Raimi,525.0,130.0,0.0,11000.0,44000.0,234903076.0,Adventure,Oz the Great and Powerful ,175409,73441,4.0,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511.0,English,215000000.0,2013.0,15000.0,2.35,60000,High
Marc Webb,495.0,142.0,464.0,825.0,15000.0,202853933.0,Action,The Amazing Spider-Man 2 ,321227,28631,0.0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067.0,English,200000000.0,2014.0,10000.0,2.35,41000,High
Joseph Kosinski,469.0,125.0,364.0,1000.0,12000.0,172051787.0,Action,TRON: Legacy ,264183,25550,0.0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665.0,English,170000000.0,2010.0,10000.0,2.35,30000,High
John Lasseter,304.0,106.0,487.0,776.0,1000.0,191450875.0,Adventure,Cars 2 ,101178,4482,0.0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283.0,English,200000000.0,2011.0,919.0,2.35,10000,High
Martin Campbell,436.0,123.0,258.0,326.0,16000.0,116593191.0,Action,Green Lantern ,223393,17657,2.0,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550.0,English,200000000.0,2011.0,368.0,2.35,24000,High
McG,422.0,118.0,368.0,988.0,23000.0,125320003.0,Action,Terminator Salvation ,286095,27468,0.0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974.0,English,200000000.0,2009.0,3000.0,2.35,0,High
James Wan,424.0,140.0,0.0,14000.0,26000.0,350034110.0,Action,Furious 7 ,278232,79150,0.0,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657.0,English,190000000.0,2015.0,23000.0,2.35,94000,High
Marc Forster,654.0,123.0,395.0,1000.0,17000.0,202351611.0,Action,World War Z ,465019,32392,0.0,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995.0,English,190000000.0,2013.0,11000.0,2.35,129000,High
Bryan Singer,338.0,114.0,0.0,140.0,979.0,65171860.0,Adventure,Jack the Giant Slayer ,106416,1766,1.0,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205.0,English,195000000.0,2013.0,557.0,2.35,22000,High
Baz Luhrmann,490.0,143.0,1000.0,77.0,29000.0,144812796.0,Drama,The Great Gatsby ,362912,29770,4.0,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753.0,English,105000000.0,2013.0,509.0,2.35,115000,High
Mike Newell,306.0,116.0,179.0,236.0,15000.0,90755643.0,Action,Prince of Persia: The Sands of Time ,222403,16149,2.0,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453.0,English,200000000.0,2010.0,567.0,2.35,23000,High
Guillermo del Toro,575.0,131.0,0.0,919.0,16000.0,101785482.0,Action,Pacific Rim ,381148,19166,0.0,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106.0,English,190000000.0,2013.0,968.0,1.85,83000,High
Michael Bay,428.0,154.0,0.0,581.0,894.0,352358779.0,Action,Transformers: Dark of the Moon ,326180,2593,2.0,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899.0,English,195000000.0,2011.0,829.0,2.35,46000,High
Steven Spielberg,470.0,122.0,14000.0,1000.0,11000.0,317011114.0,Action,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,2.0,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054.0,English,185000000.0,2008.0,1000.0,2.35,5000,High
Peter Sohn,298.0,93.0,113.0,113.0,275.0,123070338.0,Adventure,The Good Dinosaur ,62836,696,0.0,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345.0,English,,2015.0,150.0,2.35,20000,High
Mark Andrews,488.0,93.0,56.0,838.0,2000.0,237282182.0,Adventure,Brave ,273556,5005,0.0,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428.0,English,185000000.0,2012.0,1000.0,2.35,39000,High
Brett Ratner,162.0,91.0,420.0,173.0,268.0,140080850.0,Action,Rush Hour 3 ,121084,1125,2.0,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221.0,English,140000000.0,2007.0,268.0,2.35,0,High
Roland Emmerich,367.0,158.0,776.0,310.0,1000.0,166112167.0,Action,2012 ,283418,2144,0.0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055.0,English,200000000.0,2009.0,468.0,2.35,13000,High
Robert Zemeckis,240.0,96.0,0.0,10000.0,18000.0,137850096.0,Animation,A Christmas Carol ,72809,48878,0.0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249.0,English,200000000.0,2009.0,14000.0,2.35,0,High
Lana Wachowski,384.0,127.0,0.0,13000.0,17000.0,47375327.0,Action,Jupiter Ascending ,139593,47334,1.0,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720.0,English,176000000.0,2015.0,15000.0,2.35,44000,Medium
David Yates,248.0,110.0,282.0,103.0,11000.0,124051759.0,Action,The Legend of Tarzan ,42372,21175,2.0,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239.0,English,180000000.0,2016.0,10000.0,2.35,29000,High
Andrew Adamson,284.0,150.0,80.0,82.0,1000.0,291709845.0,Adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,5.0,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463.0,English,180000000.0,2005.0,190.0,2.35,0,High
Bryan Singer,396.0,144.0,0.0,1000.0,34000.0,154985087.0,Action,X-Men: Apocalypse ,148379,49684,6.0,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622.0,English,178000000.0,2016.0,13000.0,2.35,54000,High
Rob Letterman,219.0,94.0,11.0,459.0,1000.0,198332128.0,Action,Monsters vs. Aliens ,114553,2579,2.0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187.0,English,175000000.0,2009.0,973.0,2.35,0,High
Barry Sonnenfeld,85.0,106.0,188.0,582.0,10000.0,113745408.0,Action,Wild Wild West ,129601,15870,2.0,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648.0,English,170000000.0,1999.0,4000.0,1.85,0,Medium
Rob Cohen,264.0,112.0,357.0,595.0,5000.0,102176165.0,Action,The Mummy: Tomb of the Dragon Emperor ,117927,9131,2.0,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501.0,English,145000000.0,2008.0,3000.0,2.35,0,Medium
David Ayer,418.0,123.0,452.0,329.0,10000.0,161087183.0,Action,Suicide Squad ,118992,11287,8.0,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971.0,English,175000000.0,2016.0,336.0,2.35,80000,High
Tom Shadyac,186.0,96.0,293.0,7000.0,87000.0,100289690.0,Comedy,Evan Almighty ,115099,108016,0.0,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257.0,English,175000000.0,2007.0,11000.0,2.35,2000,Medium
Kevin Reynolds,91.0,176.0,58.0,60.0,711.0,88246220.0,Action,Waterworld ,144337,1004,0.0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309.0,English,175000000.0,1995.0,60.0,1.85,0,High
Stephen Sommers,250.0,118.0,208.0,570.0,23000.0,150167630.0,Action,G.I. Joe: The Rise of Cobra ,174578,26683,4.0,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534.0,English,175000000.0,2009.0,2000.0,2.35,0,High
Jon Favreau,453.0,124.0,4000.0,4000.0,21000.0,312057433.0,Action,Iron Man 2 ,522371,48638,4.0,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723.0,English,200000000.0,2010.0,19000.0,2.35,18000,High
Rupert Sanders,416.0,132.0,274.0,11000.0,26000.0,155111815.0,Action,Snow White and the Huntsman ,228554,72881,0.0,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710.0,English,170000000.0,2012.0,17000.0,2.35,53000,High
Robert Stromberg,401.0,97.0,171.0,846.0,11000.0,241407328.0,Action,Maleficent ,252257,15516,2.0,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634.0,English,180000000.0,2014.0,2000.0,2.35,89000,High
Roland Joffé,10.0,109.0,596.0,283.0,622.0,,Action,The Lovers ,2138,1982,3.0,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15.0,English,,2015.0,525.0,,677,Medium
Carl Rinsch,218.0,128.0,47.0,982.0,18000.0,38297305.0,Action,47 Ronin ,116994,20965,2.0,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324.0,English,175000000.0,2013.0,1000.0,2.35,35000,High
Mike Mitchell,226.0,93.0,31.0,213.0,4000.0,238371987.0,Adventure,Shrek Forever After ,138661,4628,2.0,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173.0,English,165000000.0,2010.0,225.0,2.35,0,High
